ID,numax,numax_e,dnu,dnu_e,Teff,Teff_e,bp_rp,bp_rp_e
236012973,2554.852,21.716,117.48,0.722,5549,37,0.901274,0.1
236224056,764.233,5.991,43.047,1.021,5215,33,1.009615,0.1
236344582,2858.132,25.478,122.906,0.763,6008,50,0.737026,0.1
237799552,2709.384,50.194,122.629,0.648,5794,40,0.801512,0.1
241011563,1411.071,11.517,73.489,0.618,5889,39,0.784698,0.1
242184803,1179.099,24.706,61.199,0.551,6030,37,0.743043,0.1
245939167,2531.051,35.558,109.134,0.648,6214,47,0.652098,0.1
245961434,842.407,13.516,46.992,0.556,5984,35,0.766578,0.1
245972483,1786.573,16.957,85.081,0.6,6132,39,0.688636,0.1
246003951,932.401,32.998,45.381,0.404,6451,43,0.602519,0.1
246011640,1074.863,19.081,56.341,0.478,6273,53,0.694163,0.1
246018042,1673.61,25.011,77.763,0.502,6303,43,0.669821,0.1
246025837,1417.4,9.007,77.019,0.657,5789,41,0.790238,0.1
246033065,2189.032,37.917,102.547,0.673,6133,34,0.678136,0.1
246054188,1275.744,17.178,67.224,0.534,6100,45,0.71215,0.1
246069493,2684.497,62.417,128.005,0.66,5979,39,0.760132,0.1
246099088,2076.267,277.297,102.473,5.672,6505,40,0.575807,0.1
246134147,1720.203,21.999,83.676,0.601,6237,45,0.689635,0.1
246154489,187.51,4.42,14.285,0.49,4949,27,1.093526,0.1
246161591,823.915,11.6,47.973,0.621,6056,44,0.713732,0.1
246163607,2312.663,44.169,106.406,0.706,6397,47,0.634608,0.1
246184564,155.437,5.446,11.746,0.292,4901,36,1.144817,0.1
246212144,994.606,18.427,53.582,0.465,6365,49,0.677452,0.1
246256752,1196.476,12.094,65.022,0.527,6183,47,0.677457,0.1
246257644,2751.454,54.008,120.652,0.802,6190,43,0.699238,0.1
246260292,2111.456,31.793,98.993,0.612,6590,39,0.573974,0.1
246301897,2214.079,28.31,102.073,0.655,6330,49,0.654238,0.1
246305274,795.241,12.347,47.126,0.525,6210,43,0.679968,0.1
246305350,831.711,13.586,47.754,0.558,6030,44,0.749286,0.1
246358740,1094.251,11.674,58.585,0.566,5745,42,0.866888,0.1
246358796,2390.394,45.043,108.024,0.728,6218,38,0.697393,0.1
246418246,1933.745,20.238,94.615,0.817,5948,35,0.746953,0.1
246438837,1062.117,16.122,55.52,0.516,6159,42,0.729884,0.1
246685193,1370.353,9.314,72.212,0.635,5697,31,0.828019,0.1
246696804,1115.297,22.318,66.132,0.692,6662,51,0.547391,0.1
246758642,1511.292,31.36,80.145,0.579,6304,52,0.646402,0.1
246843060,2027.004,26.087,93.061,0.66,6219,35,0.678923,0.1
246907677,2262.957,42.412,94.252,0.627,6376,50,0.622822,0.1
246928030,918.332,14.112,56.381,0.543,6084,33,0.702342,0.1
247236354,1370.274,24.239,69.941,0.55,6177,41,0.690227,0.1
247245721,844.24,9.514,46.766,0.563,5647,40,0.841804,0.1
247643791,1977.856,50.663,84.841,0.513,6321,42,0.644663,0.1
247906277,3283.149,33.667,143.353,0.82,5659,33,0.843176,0.1
247992384,2152.376,40.612,103.445,0.605,6390,35,0.609973,0.1
248149077,837.746,9.704,47.799,0.444,5988,35,0.738846,0.1
248424564,2277.23,19.226,108.899,0.77,5709,49,0.844727,0.1
248505415,1866.135,32.071,90.128,0.753,6393,39,0.621752,0.1
248514180,819.012,32.282,47.127,0.385,6162,77,0.659827,0.1
248530476,1282.815,29.057,66.864,0.522,6465,61,0.599892,0.1
248553904,2317.582,26.255,106.469,0.654,6268,36,0.661225,0.1
248568507,1105.639,9.446,60.505,0.613,5759,45,0.844571,0.1
