ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC7286832,133.534539,11.15429,0.031667,1.275155,0.035619,0.00593,0.002069,0.239614,0.00684,79.362332,0.222404,0.129859,0.005435,0.819149,0.276062,0.630525,0.033896,1.592332,0.126586,0.001404,0.129299,5148,180,1.348779,0.067393,-0.2,0.3,1.43,0.12,5.95,0.2,78.095015,5.58452,0.027645,0.007935,9999,9999,1.004722
KIC7286856,200.29,14.784179,0.010715,0.260042,0.010005,0.005644,0.000678,0.311622,0.004664,80.757678,0.028872,0.142338,0.001828,0.081018,0.020785,0.580487,0.022628,5.518966,0.07233,0.22496,0.083227,4818.1,76.85,1.047,0.005,0.087,-0.0175,1.56,0.09,5.08,0.11,86.951015,1.627927,0.086857,0.008549,4.26,0.11,1.086578
KIC7287713,158.031033,12.412668,0.008468,0.288524,0.008811,0.000485,0.000635,0.269908,0.005116,77.948185,0.022215,0.132842,0.002186,0.267273,0.02399,0.595875,0.018127,4.008763,0.055545,0.198816,0.088113,4909,83.65,1.234,0.122,-0.175,-0.018,1.4,0.08,5.43,0.12,37.878551,1.629236,0.062608,0.005411,5.448,0.7015,1.65974
KIC7292720,186.201667,14.640654,0.00866,0.323235,0.008,0.002002,0.000693,0.320735,0.005266,84.498605,0.030378,0.145208,0.00185,0.359497,0.022921,0.716558,0.021244,3.65904,0.066211,0.244696,0.076546,4852.3,89.3,1.027,0.024,-0.052,0.005,1.31,0.08,4.82,0.11,51.737745,2.070036,0.04245,0.004382,9999,9999,0.993434
KIC7295725,90.241787,7.637749,0.006924,0.062775,0.010612,0.005979,0.000771,0.161158,0.005048,74.378021,0.016098,0.122632,0.003836,0.118817,0.030987,0.492847,0.020101,4.903015,0.031236,-0.063482,0.085032,4854.1,99.7,1.512,0.442,-0.019,0.0065,1.68,0.09,8.04,0.15,84.852728,2.556255,0.060992,0.007896,2.29,0.291,0.89299
KIC7302117,213.08,15.516436,0.009673,0.342383,0.008757,-0.000713,0.000599,0.303472,0.004552,85.296585,0.020153,0.148494,0.001397,0.239857,0.012923,0.613786,0.018265,6.094386,0.038072,0.1758,0.068005,5058.5,116.7,1.174,0.127,-0.172,0.02,1.48,0.07,4.81,0.09,81.980743,1.589986,0.088677,0.006335,3.615,0.43,0.971057
KIC7335713,159.722082,13.786366,0.008073,0.268002,0.007137,0.002956,0.000575,0.323593,0.004919,82.845932,0.012605,0.178526,0.001609,0.251047,0.011969,0.703421,0.0172,5.446762,0.03452,0.036621,0.082335,5101,79.05,1.034,0.022,-0.75,0.0015,1.12,0.07,4.77,0.1,48.351705,1.390492,0.063537,0.005309,9999,9999,1.048959
KIC7339539,158.5826,13.21627,0.016576,0.205908,0.015453,-0.000952,0.001029,0.286923,0.006287,71.172314,0.061795,0.115337,0.004401,0.835208,0.077712,0.844729,0.031822,9999,9999,9999,9999,5018.6,87.15,1.102,0.0645,-0.177,-0.003,1.36,0.09,5.26,0.13,9999,9999,9999,9999,9999,9999,1.32222
KIC7345128,100.848826,9.196835,0.005051,0.08785,0.006418,0.013298,0.00042,0.220924,0.004784,75.674241,0.012444,0.131335,0.003405,0.28869,0.020298,0.554744,0.021921,3.34988,0.048816,0.077815,0.098406,4796.8,86.95,1.268,0.2395,-0.067,0.022,1.13,0.05,6.21,0.11,39.140555,2.305311,0.056437,0.006616,11.131,1.2505,1.079585
KIC7345936,117.089933,10.341527,0.01062,0.186309,0.012507,0.009432,0.000846,0.239756,0.004572,78.510967,0.018574,0.141346,0.004223,0.20956,0.024315,0.649944,0.018582,6.649586,0.035498,0.021617,0.097472,4997,148,1.288259,0.054907,-0.19,0.3,1.21,0.07,5.89,0.13,86.95555,1.861232,0.141222,0.020711,9.553,1.2305,0.944017
