ID,numax,delta_nu,e_delta_nu,epsilon,e_epsilon,alpha,e_alpha,D,e_D,delta_Pi,e_delta_Pi,q,e_q,epsilon_g,e_epsilon_g,f_shift,e_f_shift,Omega_g,e_Omega_g,Omega_p,e_Omega_p,Teff,e_Teff,Lum,e_Lum,Fe/H,e_Fe/H,mass,e_mass,radius,e_radius,inclination,e_inclination,linewidth0,e_linewidth0,age,e_age,ruwe
KIC1026326,96.282898,8.842311,0.014715,0.176773,0.018699,-0.000284,0.002131,0.193952,0.006092,74.089689,0.025126,0.130605,0.003845,0.216716,0.046537,0.598378,0.020568,4.245154,0.036366,0.036227,0.101605,4829.9,86.4,1.416,0.334,-0.119,-0.003,1.3,0.08,6.7,0.15,50.000149,2.925621,0.030211,0.005108,9999,9999,1.421714
KIC1027582,158.282648,12.619944,0.0122,0.319342,0.012425,-0.000584,0.001101,0.261594,0.006173,81.152241,0.028168,0.127846,0.001979,0.280118,0.027102,0.71827,0.021061,5.930887,0.055769,0.105949,0.066003,4767.2,85.8,1.096,0.0185,0.141,-0.02,1.39,0.09,5.41,0.12,64.222044,1.769964,0.053116,0.007407,5.535,0.8415,1.006179
KIC1430118,161.156624,13.360618,0.010406,0.264439,0.00936,0.005504,0.000871,0.298924,0.007164,83.151308,0.018806,0.15237,0.002361,0.22171,0.016802,0.776975,0.020469,3.521508,0.042726,0.214095,0.07431,4912,89.55,1.064,0.0215,-0.064,-0.0075,1.23,0.08,5.03,0.11,76.915285,3.280059,0.04892,0.006235,9999,9999,0.884151
KIC1431059,172.26815,13.697301,0.004434,0.250952,0.004478,0.006911,0.000415,0.303351,0.006128,83.19676,0.011009,0.140315,0.002183,0.259577,0.009242,0.734003,0.026705,5.68237,0.020475,0.137853,0.035475,4646.2,83.7,1.025,0.0195,0.198,0.0025,1.19,0.06,4.85,0.08,39.307869,2.956051,0.040607,0.004556,6.71,0.981,1.057829
KIC1432825,175.968071,13.699256,0.02113,0.310759,0.020393,0.000403,0.001341,0.300143,0.00642,80.4787,0.048357,0.145828,0.003192,0.252988,0.039905,0.627371,0.029679,9999,9999,9999,9999,4893.1,85.25,1.199,0.1755,-0.177,0.009,1.64,0.12,5.47,0.14,9999,9999,9999,9999,5.143,0.8905,1.045338
KIC1433803,153.172221,12.198424,0.006535,0.256666,0.008623,0.002917,0.000352,0.261277,0.006244,80.044942,0.009711,0.133474,0.002448,0.215764,0.010693,0.70405,0.033123,4.562309,0.023038,0.476177,0.039101,4711.6,78.9,1.071,0.007,0.254,-0.007,1.24,0.06,5.29,0.09,70.801922,1.304996,0.075827,0.007396,6.047,0.1905,1.037899
KIC1569842,136.815198,11.842643,0.011041,0.220976,0.011218,0.006101,0.001031,0.269402,0.005492,80.685186,0.012982,0.147153,0.001864,0.2191,0.013803,0.724498,0.018564,4.618033,0.03068,-0.045188,0.083164,4988,83.1,1.154,0.0025,-0.292,-0.0065,1,0.05,5.01,0.09,40.075704,1.942378,0.053653,0.004046,15.723,2.06,0.851707
KIC1572317,199.268437,14.833728,0.008019,0.274318,0.007128,0.005649,0.000561,0.302037,0.005559,84.077198,0.020847,0.143555,0.001557,0.264483,0.015145,0.602997,0.019059,3.528786,0.03814,0.205704,0.053226,5107.3,124.95,1.234,0.3705,-0.227,-0.0035,1.69,0.11,5.26,0.12,84.506656,2.720148,0.062142,0.00617,3.573,0.691,3.681138
KIC1573925,126.927235,10.835311,0.012634,0.204255,0.01341,0.004105,0.000926,0.247951,0.005355,77.07935,0.025334,0.142922,0.003584,0.218948,0.033326,0.611326,0.021576,7.544147,0.048151,0.286346,0.092058,4968.4,93.45,1.314,0.269,-0.473,0.0035,1.36,0.09,5.99,0.14,9999,9999,9999,9999,9999,9999,0.984148
KIC1719422,137.619749,11.346291,0.011461,0.202675,0.012418,0.005931,0.001193,0.241159,0.005801,76.927434,0.016677,0.138362,0.002706,0.412641,0.020713,0.617751,0.021427,3.277761,0.03218,0.071179,0.074694,4961.7,86.25,1.247,0.185,-0.265,0.0185,1.29,0.06,5.62,0.1,85.239771,1.63774,0.057677,0.005156,9999,9999,1.077537
KIC1720241,212.06,15.967668,0.016047,0.411883,0.01363,0.002179,0.000817,0.342445,0.006761,86.33327,0.039644,0.161524,0.00299,0.127765,0.023045,0.607166,0.024586,3.798746,0.082893,0.164191,0.086038,4946.7,92.3,1.043,0.017,-0.167,0.0125,1.28,0.08,4.48,0.1,61.163357,4.402938,0.053762,0.008703,6.27,1.011,1.04746
KIC1721595,156.037983,13.174811,0.020848,0.309879,0.018844,0.005137,0.00185,0.296746,0.006905,83.033558,0.027473,0.159649,0.001981,0.181103,0.026004,0.814372,0.023183,3.81845,0.039428,-0.018809,0.081707,4955.2,93.95,1.075,0.031,-0.336,-0.0145,1.06,0.07,4.75,0.11,67.097521,1.937947,0.047517,0.006184,9999,9999,0.938933
KIC1723752,198.024837,14.999159,0.009897,0.317932,0.00878,0.002903,0.000639,0.315221,0.006706,83.820438,0.014731,0.156096,0.001326,0.279176,0.010749,0.61256,0.019021,7.667018,0.048577,0.224927,0.068585,4896.6,83.5,1.061,0.017,-0.122,0.023,1.3,0.06,4.7,0.09,38.006846,1.458586,0.0761,0.005575,6.019,1.04,0.884453
KIC1723843,112.266012,9.536915,0.013354,0.069745,0.015921,0.017131,0.001353,0.212304,0.006081,72.344079,0.040802,0.125069,0.005014,0.583469,0.068985,0.59629,0.028135,9999,9999,9999,9999,4860.5,90.4,1.346,0.3005,-0.22,-0.022,1.33,0.07,6.42,0.12,9999,9999,9999,9999,4.732,0.641,1.042895
KIC1726291,151.059753,12.957265,0.015371,0.226156,0.013816,0.009172,0.001127,0.297421,0.006782,82.661664,0.01962,0.15592,0.00204,0.172594,0.018774,0.746066,0.023359,6.979385,0.053073,-0.04904,0.090867,4922.7,91.7,1.065,0.023,-0.286,-0.0095,0.95,0.05,4.65,0.08,36.982458,1.38206,0.072593,0.007901,9999,9999,1.034839
KIC1849462,164.460118,13.22792,0.015518,0.319308,0.013855,-0.001537,0.001223,0.284037,0.005493,83.293696,0.034085,0.141254,0.002225,0.331013,0.029793,0.739007,0.020066,4.237372,0.061211,0.085058,0.082469,4808.7,88.85,1.138,0.132,-0.023,-0.0085,1.28,0.08,5.08,0.11,86.248007,1.783827,0.045618,0.005385,9999,9999,1.221656
KIC1865102,83.154601,7.857455,0.028851,0.256344,0.038021,-0.001309,0.003757,0.181564,0.005954,69.382288,0.059706,0.137125,0.008212,0.394745,0.146385,0.55469,0.031675,1.266527,0.072122,-0.078123,0.150517,4711.3,77.7,1.236,0.1865,-0.189,-0.012,1.16,0.07,6.9,0.15,45.082812,3.45565,0.045951,0.011761,9999,9999,0.939964
KIC1870196,191.539979,14.906984,0.008034,0.322988,0.007173,0.00486,0.000665,0.320788,0.006509,85.065991,0.017838,0.152869,0.001516,0.216722,0.012661,0.684686,0.022157,4.250628,0.048365,0.165487,0.085685,4795.5,86.05,0.966,0.02,0.087,-0.019,1.27,0.06,4.72,0.09,34.526845,1.653284,0.061593,0.004899,9999,9999,0.965297
KIC1870495,180.33608,14.849613,0.014977,0.313288,0.012835,0.006424,0.001119,0.341063,0.00625,85.782823,0.026134,0.166656,0.001727,0.235302,0.018877,0.740963,0.024672,6.093954,0.066576,-0.037427,0.098722,4971.1,92.55,1.036,0.024,-0.353,-0.0065,1.02,0.05,4.35,0.08,45.205719,2.085847,0.057585,0.005411,9999,9999,0.957958
KIC1871571,182.728732,14.423625,0.012402,0.340817,0.011732,0.000775,0.000999,0.316102,0.0056,85.97546,0.026068,0.141956,0.001967,0.253684,0.01806,0.773567,0.020502,6.124823,0.105128,0.129125,0.110899,4743.3,86.7,0.931,0.018,0.2,0.0005,1.16,0.07,4.64,0.1,30.97522,2.460159,0.035283,0.005121,7.618,1.5005,1.146107
KIC1995668,224.38,16.190496,0.008696,0.348439,0.007991,0.002051,0.000597,0.32924,0.004729,84.26575,0.021967,0.133674,0.002099,0.224632,0.013076,0.683421,0.021617,9999,9999,9999,9999,4811.6,84.8,0.999,0.025,-0.01,0.0125,1.34,0.08,4.47,0.1,9999,9999,9999,9999,4.634,0.9015,0.982359
KIC1996415,127.484518,10.849047,0.012678,0.176879,0.014234,0.005235,0.001213,0.230396,0.005073,79.076005,0.019833,0.13479,0.003287,0.371536,0.02391,0.702324,0.024533,9999,9999,9999,9999,4692.6,86.1,1.153,0.098,0.189,-0.0155,1.17,0.06,5.63,0.11,9999,9999,9999,9999,6.588,1.2615,1.069643
KIC2011891,114.935391,9.824158,0.007979,0.115765,0.009805,0.007228,0.000876,0.214288,0.005255,76.769966,0.021803,0.12628,0.004107,0.263451,0.030067,0.627725,0.022571,9999,9999,9999,9999,4686.8,83.05,1.171,0.026,0.258,0.0015,1.28,0.06,6.23,0.11,9999,9999,9999,9999,7.604,0.63,0.836835
KIC2012216,90.859928,8.125699,0.012679,0.1485,0.017122,0.002721,0.001402,0.176781,0.005164,71.662455,0.026179,0.143859,0.00499,0.128747,0.057057,0.603559,0.02187,4.263344,0.039978,0.023693,0.103296,4777.3,94.5,1.391,0.3795,-0.163,0.0115,1.35,0.07,7.13,0.13,87.01002,1.924298,0.032838,0.006306,4.928,0.82,1.056768
KIC2018537,183.041451,13.897581,0.009894,0.26278,0.009186,0.005862,0.000731,0.273353,0.005507,80.807672,0.01667,0.137281,0.001568,0.230912,0.013692,0.627527,0.017803,3.522448,0.058443,0.228884,0.084791,4749.5,84.3,1.051,0.0255,0.21,0.019,1.4,0.07,5.08,0.09,38.567613,2.101469,0.066254,0.00593,4.564,0.85,0.937428
KIC2018585,87.659239,8.347714,0.017774,0.215718,0.023692,-0.000272,0.002502,0.189562,0.007073,74.424374,0.025762,0.12229,0.004403,0.055172,0.051775,0.559694,0.026494,6.03682,0.043396,0.12208,0.12509,4753.6,99.1,1.365,1.2555,-0.068,-0.0035,1.23,0.08,6.85,0.15,9999,9999,9999,9999,9999,9999,2.60175
KIC2020383,107.175018,9.462795,0.016404,0.171825,0.019575,0.00511,0.001714,0.209827,0.005877,76.025226,0.027795,0.123502,0.004771,0.202021,0.041886,0.617521,0.031055,9999,9999,9999,9999,4859,150,1.275715,0.057168,-0.52,0.3,1.18,0.08,6.14,0.14,9999,9999,9999,9999,9999,9999,1.020658
KIC2021216,185.319637,14.393655,0.012573,0.308875,0.011701,0.002248,0.000659,0.30503,0.005115,83.832355,0.016903,0.142938,0.001723,0.266007,0.013744,0.708407,0.018429,2.10788,0.045516,0.324093,0.067931,4821.8,87.1,1.056,0.013,0.083,-0.0155,1.2,0.07,4.66,0.1,80.22197,1.672395,0.045864,0.00484,7.255,1.0815,1.035183
KIC2141255,149.655131,12.369609,0.005348,0.262903,0.004859,0.007065,0.000543,0.288002,0.005029,81.109764,0.012026,0.171086,0.000588,0.211571,0.012847,0.598941,0.022001,6.713109,0.027804,0.293167,0.067863,4947.1,85.1,1.117,0.073,-0.221,0.019,1.16,0.05,5.12,0.09,85.900084,1.210345,0.075396,0.005878,9.399,1.352,0.948282
KIC2141436,112.792872,10.031061,0.014018,0.227093,0.016343,0.002615,0.001926,0.225944,0.00579,77.72693,0.019782,0.13372,0.00291,0.181616,0.027581,0.681369,0.023,4.333639,0.03627,0.121253,0.090137,4736.2,88.3,1.232,0.1955,-0.017,0.008,1.18,0.07,5.96,0.13,82.791793,1.387386,0.063215,0.006511,9999,9999,0.94983
KIC2157213,259.460144,19.351001,0.021889,0.331382,0.015407,0.008252,0.000726,0.470022,0.006445,91.68217,0.014296,0.15533,0.000987,0.277619,0.007011,0.690046,0.021476,3.677858,0.049623,-0.016561,0.082648,4945.6,86.85,0.896,0.0035,-0.022,-0.02,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
KIC2157650,140.380675,11.400671,0.008895,0.198379,0.010134,0.007321,0.000673,0.237273,0.005608,77.599689,0.024542,0.127662,0.003191,0.220793,0.028826,0.671616,0.022607,9999,9999,9999,9999,4782.2,83,1.194,0.081,0.107,0.0075,1.33,0.06,5.7,0.1,9999,9999,9999,9999,9999,9999,0.961954
KIC2160910,119.066776,10.438026,0.01254,0.188793,0.014983,0.00443,0.00133,0.236851,0.00558,77.3572,0.019082,0.139658,0.003122,0.294529,0.027672,0.645709,0.022257,5.820524,0.032604,0.153402,0.085422,4969.1,90.1,1.261,0.188,-0.385,-0.015,1.18,0.06,5.79,0.1,69.083436,2.171955,0.053236,0.009255,9999,9999,0.996654
KIC2161409,99.959965,8.541666,0.013254,0.233647,0.017119,-0.002445,0.001616,0.17042,0.006877,72.454954,0.036138,0.123129,0.00448,0.092393,0.068062,0.60485,0.026575,3.994536,0.048498,0.075063,0.094806,4705.8,88,1.357,0.284,0.086,-0.011,1.47,0.07,7.08,0.13,69.962939,2.536088,0.075913,0.021398,3.106,0.531,1.004722
KIC2161831,146.42471,12.416646,0.009277,0.266548,0.009373,0.004897,0.000851,0.275015,0.006283,81.343564,0.015827,0.150137,0.002191,0.222591,0.016417,0.699251,0.021449,4.110924,0.036417,0.154209,0.0833,4923,95.55,1.11,0.0115,-0.239,-0.007,1.06,0.05,4.96,0.09,81.717224,1.606904,0.054283,0.005458,12.511,0.841,1.023832
KIC2166119,145.009626,12.373192,0.011044,0.271962,0.010878,0.002161,0.001116,0.277891,0.006354,81.788212,0.025486,0.150466,0.002613,0.407431,0.025878,0.728261,0.019575,5.722872,0.040076,0.540978,0.065003,4826.8,90.45,1.069,0.0195,-0.017,-0.0025,1.14,0.07,5.12,0.11,77.365945,1.821977,0.055911,0.006126,9999,9999,1.032296
KIC2166709,225.74,17.675624,0.039215,0.392249,0.028863,0.003608,0.002979,0.389322,0.00778,90.695147,0.034933,0.175086,0.001719,0.273036,0.019023,0.727796,0.02435,3.836261,0.056906,0.166428,0.089869,4936.8,91.4,0.911,0.025,-0.182,-0.01,1,0.06,3.86,0.08,56.456809,3.139029,0.036887,0.005765,9999,9999,1.044519
KIC2284679,198.02,16.177834,0.005375,0.322381,0.004215,0.003846,0.000439,0.376748,0.004912,87.695872,0.011374,0.179749,0.001621,0.257008,0.007444,0.691657,0.015,7.134947,0.031962,0.137258,0.062965,5059.1,87.3,1.003,0.0235,-0.484,0.0235,0.88,0.04,3.88,0.07,80.336161,1.696658,0.042755,0.004161,9999,9999,1.824452
KIC2285827,169.366442,13.173866,0.009869,0.359137,0.010729,-0.001649,0.000612,0.272675,0.00764,82.279914,0.015399,0.151058,0.000371,0.172089,0.013076,0.7471,0.022809,4.784844,0.034507,0.415732,0.055229,4754.5,81.2,1.058,0.0245,0.242,-0.018,1.26,0.06,5.06,0.09,61.315492,1.571394,0.051248,0.006163,5.569,1.1925,0.996207
KIC2285941,149.238967,12.640846,0.010237,0.279226,0.010493,0.002912,0.000822,0.27833,0.005629,81.885231,0.032499,0.151563,0.002724,0.198736,0.032345,0.706624,0.021274,5.166433,0.060562,-0.002879,0.095539,4926.7,84.45,1.062,0.034,-0.072,-0.0255,1.14,0.07,5.04,0.11,69.607604,1.868116,0.046768,0.004738,9999,9999,1.019266
KIC2303101,171.85382,13.757652,0.013147,0.294617,0.0126,0.005168,0.000773,0.301613,0.005293,84.282079,0.024985,0.136995,0.002671,0.305637,0.020806,0.76841,0.02427,9999,9999,9999,9999,4781.7,84.45,1.045,0.0135,0.184,-0.012,1.19,0.06,4.83,0.09,9999,9999,9999,9999,7.086,2.153,0.98566
KIC2305992,102.461703,8.966062,0.011338,0.113324,0.014114,0.008262,0.000882,0.207905,0.007284,74.552741,0.026878,0.12397,0.004645,0.155148,0.045849,0.600868,0.022007,9999,9999,9999,9999,4780.6,85.1,1.281,0.133,0.048,-0.01,1.32,0.06,6.66,0.12,9999,9999,9999,9999,5.287,0.8715,0.904454
KIC2308429,263.03,18.711287,0.039656,0.466458,0.029594,-0.001747,0.001629,0.384385,0.007714,92.009415,0.062395,0.172729,0.001783,0.301886,0.031556,0.630065,0.024651,3.549994,0.309422,0.442302,0.206119,4847.9,84.65,0.907,0.0195,0.091,0.018,1.34,0.09,4.12,0.11,34.481307,3.042978,9999,9999,9999,9999,1.074038
KIC2309720,155.007377,12.406769,0.015776,0.283244,0.015675,0.000993,0.000922,0.275301,0.006298,79.877994,0.03288,0.142961,0.002605,0.276861,0.032928,0.666443,0.023295,2.685206,0.058157,0.30528,0.079121,4909.1,95.1,1.476,1.2735,-0.263,0.017,1.39,0.09,5.45,0.12,77.604095,2.538883,0.04926,0.006313,6.663,1.251,5.145555
KIC2422558,112.091631,9.333299,0.011117,0.190315,0.014861,-0.000589,0.001413,0.188599,0.005566,74.376424,0.019928,0.122097,0.003413,0.174785,0.03205,0.624878,0.019044,4.98325,0.031141,-0.055595,0.082193,4663,81.95,1.261,0.2275,0.269,0.0075,1.41,0.07,6.6,0.12,87.389511,1.950529,0.068508,0.015301,4.709,0.911,0.976951
KIC2436457,104.763396,9.665627,0.015239,0.129855,0.017644,0.014405,0.001774,0.222978,0.006469,75.952755,0.020532,0.14146,0.003258,0.163172,0.03412,0.621723,0.02218,2.242009,0.035188,0.169789,0.101073,5117,152,1.39206,0.055063,-0.05,0.3,1.26,0.08,6.33,0.14,49.394719,2.097173,0.058924,0.00644,9999,9999,1.000117
KIC2437325,93.668175,8.525369,0.017959,0.15668,0.023728,0.004644,0.002081,0.188939,0.005647,75.171705,0.041218,0.117584,0.007262,0.240287,0.075479,0.496085,0.028648,9999,9999,9999,9999,4664.7,99.7,1.265,0.694,0.029,-0.015,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
KIC2439378,128.816757,11.332481,0.009902,0.196682,0.010581,0.00491,0.000978,0.260787,0.004509,79.363816,0.024955,0.148495,0.003263,0.271888,0.032032,0.70649,0.02314,3.758397,0.054713,0.109716,0.10103,4915.6,93.5,1.198,0.0845,-0.373,0.007,1.03,0.05,5.21,0.09,34.428681,1.810965,0.047014,0.005006,9999,9999,0.939648
KIC2442382,217.29,16.198619,0.009804,0.352224,0.007794,0.00312,0.000718,0.33247,0.006409,97.535388,0.044058,0.166296,0.001918,0.246798,0.022407,0.531917,0.022269,9999,9999,9999,9999,4891.9,81.05,1.017,0.0205,0.093,-0.024,1.41,0.09,4.62,0.1,9999,9999,9999,9999,3.918,0.73,0.865938
KIC2442483,100.687765,9.27267,0.012795,0.186772,0.015917,0.001449,0.00175,0.202663,0.005857,76.371475,0.019783,0.126852,0.003781,0.296249,0.035043,0.603445,0.022305,3.979562,0.031661,-0.086164,0.098214,4810.4,91.85,1.15,0.025,-0.124,-0.013,1.01,0.05,5.9,0.11,78.628981,1.95374,0.059017,0.007444,15.272,2.58,1.230017
KIC2447476,91.22072,7.876433,0.016418,0.140839,0.0233,0.008695,0.002297,0.161543,0.006795,70.94078,0.033108,0.109986,0.006391,0.183523,0.070283,0.51272,0.028385,9999,9999,9999,9999,4606.1,91.25,1.35,0.3445,0.252,0.0255,1.36,0.08,7.32,0.16,9999,9999,9999,9999,2.627,0.4105,1.045722
KIC2449558,91.276382,7.582619,0.019585,0.157715,0.031235,-0.002847,0.001981,0.15075,0.007073,74.498072,0.035404,0.103987,0.006455,0.159041,0.066039,0.579919,0.037536,9999,9999,9999,9999,4763.5,86,1.47,0.5075,-0.02,-0.011,1.83,0.1,8.29,0.16,9999,9999,9999,9999,2.099,0.3,1.794868
KIC2451509,83.733045,7.237316,0.014337,0.002458,0.024652,0.011929,0.00166,0.178186,0.005493,82.529013,0.028019,0.125558,0.005001,-0.041661,0.045409,0.469603,0.024828,4.95393,0.029444,-0.008093,0.069977,4910.8,90.4,1.538,0.375,-0.159,0.016,1.72,0.09,8.42,0.16,62.601386,2.533941,0.040613,0.009709,3.089,0.59,0.859077
KIC2557392,206.62,15.689577,0.011439,0.358561,0.00968,0.004305,0.000817,0.342538,0.007348,88.057601,0.033957,0.160508,0.001723,0.177867,0.021104,0.622617,0.023276,2.906328,0.058937,0.29402,0.069201,4746.9,87.75,1.061,0.033,0.036,-0.0195,1.4,0.09,4.72,0.11,75.837973,3.054007,0.036891,0.005317,9999,9999,1.185819
KIC2557441,245.5,18.715068,0.017397,0.365497,0.012273,0.000948,0.00136,0.41545,0.006418,92.280293,0.059836,0.176738,0.001913,0.369592,0.029576,0.724289,0.028169,9999,9999,9999,9999,4770.6,84.9,0.905,0.022,0.038,0.0145,1.12,0.07,3.88,0.09,9999,9999,9999,9999,9999,9999,1.016389
KIC2568912,130.359817,11.285718,0.027756,0.315536,0.028428,0.000388,0.002936,0.257974,0.005855,80.546693,0.055876,0.155785,0.005832,0.180803,0.06321,0.70544,0.038171,9999,9999,9999,9999,4782.9,84.5,1.076,0.0245,-0.123,0.011,1.2,0.06,5.55,0.1,9999,9999,9999,9999,11.218,1.6715,0.993307
KIC2570244,106.306175,9.197001,0.036153,0.252914,0.046397,-0.001306,0.003939,0.205956,0.008561,76.56792,0.125385,0.11519,0.006884,0.434077,0.202401,0.543637,0.033861,9999,9999,9999,9999,4610.7,91.6,1.596,1.218,-0.054,0.0005,1.26,0.1,6.38,0.19,9999,9999,9999,9999,9999,9999,1.103549
KIC2571668,186.85,14.69048,0.012263,0.313181,0.010748,0.004252,0.001069,0.320815,0.007119,85.12151,0.032325,0.163129,0.00303,0.220163,0.023929,0.663559,0.023479,9999,9999,9999,9999,4932.6,88.1,1.097,0.035,-0.21,0.0085,1.41,0.1,4.96,0.13,9999,9999,9999,9999,9.38,1.2115,0.925023
KIC2578184,125.771083,10.99995,0.009992,0.225069,0.009766,0.003434,0.001048,0.237231,0.005288,80.006081,0.020088,0.130086,0.002397,0.235896,0.023853,0.699467,0.019007,4.911436,0.035936,0.021586,0.092207,4774.8,91.5,1.189,0.0865,-0.021,0.003,1.17,0.07,5.57,0.12,39.077949,1.800376,0.052832,0.006389,9999,9999,1.001005
KIC2578581,209.16,15.935542,0.010105,0.366959,0.008931,0.001403,0.000727,0.337996,0.005838,86.426102,0.021996,0.163251,0.00174,0.251531,0.014141,0.628025,0.020458,3.465336,0.053348,0.107348,0.067632,4992.9,83.85,1.047,0.018,-0.168,0.0195,1.26,0.06,4.47,0.08,81.889826,2.376018,0.064318,0.006736,8.315,1.6815,1.023254
KIC2579661,140.724394,11.223453,0.008187,0.190797,0.009522,0.007341,0.00063,0.243401,0.006176,76.419203,0.007939,0.132084,0.002043,0.226171,0.009592,0.595279,0.021652,3.635396,0.020979,0.213542,0.05219,4868.2,89.2,1.267,0.149,-0.172,-0.0185,1.57,0.08,6.12,0.11,84.007643,1.420944,0.071825,0.006422,3.112,0.461,0.890061
KIC2583386,75.09314,6.341304,0.014426,0.152102,0.024313,0.000806,0.001528,0.126154,0.007067,88.094645,0.068123,0.151335,0.012164,0.728225,0.103272,0.420446,0.059276,9999,9999,9999,9999,4688.6,99,1.535,0.5085,0.243,-0.0095,1.92,0.12,9.49,0.22,9999,9999,9999,9999,2.35,0.78,0.901364
KIC2584477,114.383805,9.838259,0.007612,0.149451,0.009994,0.007336,0.000868,0.210128,0.004279,76.435333,0.015245,0.119406,0.00265,0.185312,0.022416,0.60504,0.017613,5.147844,0.038613,0.138647,0.079395,4688.6,88,1.253,0.179,0.146,0.019,1.26,0.06,6.17,0.11,37.991335,1.428154,0.050184,0.00469,7.4,1.3925,1.130571
KIC2584478,181.501929,13.920751,0.009534,0.307966,0.00921,0.004155,0.000628,0.294244,0.007014,81.348589,0.01849,0.137179,0.001543,0.660831,0.015859,0.661146,0.018529,3.365046,0.037446,-0.035937,0.060772,4823.9,81.65,1.133,0.102,0.089,-0.008,1.32,0.06,4.96,0.09,86.427441,1.512117,0.06073,0.005809,3.948,0.7705,0.871807
KIC2584997,188.092473,14.415796,0.01313,0.306454,0.012117,0.004196,0.000725,0.310078,0.004013,83.620351,0.019507,0.13603,0.001291,0.228311,0.014798,0.71861,0.017174,1.889112,0.038438,0.152014,0.068487,4817.4,81.8,1.057,0.0225,0.143,0.004,1.33,0.08,4.86,0.11,71.112946,2.221349,0.053759,0.00394,6.374,1.254,0.946181
KIC2692629,209.91,16.218251,0.007985,0.373403,0.006568,0.003315,0.000708,0.368661,0.007149,87.898115,0.015113,0.169376,0.001658,0.203068,0.009374,0.628407,0.021481,2.736615,0.054171,0.171693,0.061374,4920.6,83.1,0.97,0.012,-0.056,-0.005,1.26,0.08,4.42,0.1,76.505367,3.204168,0.052681,0.005236,9999,9999,0.938945
KIC2696732,93.499538,8.379341,0.01321,0.133966,0.019471,0.009322,0.001194,0.194443,0.005861,72.732864,0.01304,0.125525,0.00318,0.041126,0.02607,0.527538,0.017865,2.430997,0.033421,0.032075,0.085266,4830.4,87.9,1.359,0.214,-0.216,0.019,1.34,0.07,7.01,0.13,47.315249,2.341979,0.047878,0.004538,7.375,1.381,0.816714
KIC2696739,194.086726,15.169002,0.009611,0.313516,0.008724,0.00282,0.000712,0.342524,0.003767,85.787025,0.024549,0.172767,0.002414,0.258574,0.016768,0.627789,0.021606,9999,9999,9999,9999,5034.2,84.1,1.07,0.0065,-0.332,-0.0125,1.16,0.05,4.49,0.08,9999,9999,9999,9999,9999,9999,0.962613
KIC2697306,226.29,17.311598,0.015576,0.401722,0.012694,0.000916,0.000905,0.377184,0.005919,90.265364,0.044593,0.162232,0.001841,0.30771,0.023302,0.680602,0.025827,4.087436,0.126606,-0.023592,0.107928,4860.6,89.65,0.935,0.021,-0.009,-0.0115,1.13,0.08,4.08,0.1,79.312935,1.922232,0.038984,0.004375,9999,9999,1.019689
KIC2714785,117.800957,10.463307,0.008661,0.191183,0.009552,0.003561,0.000861,0.230595,0.004695,78.703408,0.012181,0.139189,0.002144,0.218541,0.016728,0.64817,0.018379,4.307822,0.033891,0.011748,0.079793,4839.6,88.95,1.143,0.0285,-0.119,-0.0135,1,0.05,5.42,0.1,51.368465,1.389738,0.045134,0.003264,13.972,1.952,0.86375
KIC2715975,104.215592,9.305216,0.026315,0.232293,0.03278,0.000848,0.004683,0.208051,0.00911,75.668784,0.122622,0.115004,0.008321,0.146071,0.203882,0.624033,0.038536,9999,9999,9999,9999,4761.4,88.95,1.343,0.5845,-0.061,0.0025,1.36,0.09,6.6,0.15,9999,9999,9999,9999,9999,9999,2.541641
KIC2719701,142.196144,11.869847,0.024561,0.333107,0.024907,-0.000499,0.002914,0.253756,0.007668,81.126127,0.024892,0.136033,0.002335,0.185727,0.02664,0.757383,0.023572,4.683915,0.049136,0.003753,0.082015,4751.4,90.7,1.077,0.016,0.029,-0.0155,1.23,0.08,5.38,0.12,45.250852,1.892946,0.045193,0.006695,9999,9999,1.071436
KIC2833772,101.658094,9.096669,0.013195,0.184113,0.016086,0.007902,0.001783,0.201067,0.007945,73.662628,0.067148,0.129694,0.00764,0.65965,0.121142,0.644716,0.035046,9999,9999,9999,9999,4813,85.9,1.289,0.2405,-0.062,-0.0015,1.42,0.09,6.82,0.16,9999,9999,9999,9999,9999,9999,0.977747
KIC2835067,83.61876,7.639779,0.014272,0.11215,0.021454,0.003233,0.00213,0.169551,0.006996,70.923262,0.022617,0.135705,0.00564,0.111501,0.053638,0.520091,0.02449,5.016122,0.040141,0.131069,0.129012,4758.7,90.75,1.435,0.4355,-0.158,0.0015,1.33,0.07,7.4,0.14,74.661298,4.531586,9999,9999,7.426,1.4025,1.026393
KIC2835657,88.010232,7.843584,0.019458,0.131799,0.027558,0.012006,0.001836,0.178003,0.006199,69.942653,0.025129,0.111664,0.007432,0.009471,0.057951,0.543968,0.035343,9999,9999,9999,9999,4855.2,82.45,1.511,0.506,-0.218,-0.019,1.4,0.08,7.38,0.15,9999,9999,9999,9999,5.884,1.172,1.067821
